pgs_id,reported_trait,category
PGS005287,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005288,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005289,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005290,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005291,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005292,Atrial fibrillation,Cardiovascular & Cholesterol
PGS005313,Atrial fibrillation,Cardiovascular & Cholesterol
PGS012531,Atrial fibrillation,Cardiovascular & Cholesterol
PGS012532,Atrial fibrillation,Cardiovascular & Cholesterol
PGS012533,Atrial fibrillation,Cardiovascular & Cholesterol
PGS012534,Atrial fibrillation,Cardiovascular & Cholesterol
