pgs_id,reported_trait,category
PGS019481,Calculus of kidney,Kidney & Urinary Health
PGS019482,Calculus of kidney,Kidney & Urinary Health
PGS019483,Calculus of kidney,Kidney & Urinary Health
PGS019484,Calculus of kidney,Kidney & Urinary Health
PGS001250,Calculus of kidney and ureter (time-to-event),Kidney & Urinary Health
PGS019485,Calculus of ureter,Kidney & Urinary Health
PGS019486,Calculus of ureter,Kidney & Urinary Health
PGS019487,Calculus of ureter,Kidney & Urinary Health
PGS019488,Calculus of ureter,Kidney & Urinary Health
PGS019489,Calculus of ureter,Kidney & Urinary Health
PGS019490,Calculus of ureter,Kidney & Urinary Health
PGS018520,Cancer of bronchus lung,Cancer
PGS018521,Cancer of bronchus lung,Cancer
PGS018522,Cancer of bronchus lung,Cancer
PGS018523,Cancer of bronchus lung,Cancer
PGS018524,Cancer of bronchus lung,Cancer
PGS018465,Cancer of larynx pharynx nasal cavities,Cancer
PGS018466,Cancer of larynx pharynx nasal cavities,Cancer
PGS018467,Cancer of larynx pharynx nasal cavities,Cancer
PGS018468,Cancer of larynx pharynx nasal cavities,Cancer
PGS018469,Cancer of larynx pharynx nasal cavities,Cancer
PGS018500,Cancer of liver and intrahepatic bile duct,Cancer
PGS018501,Cancer of liver and intrahepatic bile duct,Cancer
PGS018502,Cancer of liver and intrahepatic bile duct,Cancer
PGS018503,Cancer of liver and intrahepatic bile duct,Cancer
